ip,mac
10.95.220.1,00:00:5e:00:01:64
10.95.220.4,3c:61:04:e9:29:01
10.95.220.5,00:0e:b6:35:82:f8
10.95.220.6,00:0e:b6:35:8b:f0
10.95.220.9,b8:ca:3a:f3:76:a9
10.95.220.10,00:1e:c0:dd:f4:fd
10.95.220.11,28:80:23:0e:3c:99
10.95.220.12,00:1b:78:10:08:26
10.95.220.13,00:21:5a:7e:7b:b1
10.95.220.15,00:23:7d:8a:6e:1f
10.95.220.16,00:23:7d:8a:9e:70
10.95.220.17,00:23:7d:8a:6e:ad
10.95.220.18,00:23:7d:8c:70:0f
10.95.220.19,00:23:7d:8a:5e:c1
10.95.220.20,00:23:7d:8a:5e:80
10.95.220.21,00:23:7d:89:de:53
10.95.220.22,00:1e:0b:0d:7c:a8
10.95.220.23,00:21:b7:95:82:c9
10.95.220.24,5c:b9:01:0e:93:57
10.95.220.25,58:20:b1:4e:62:f8
10.95.220.26,44:1e:a1:33:6c:3d
10.95.220.27,00:21:5a:82:7e:03
10.95.220.29,00:ee:dd:cc:bb:aa
10.95.220.30,00:12:79:80:11:9f
10.95.220.31,34:64:a9:6c:09:4a
10.95.220.33,00:12:79:e0:55:6d
10.95.220.34,00:1e:0b:16:1a:c2
10.95.220.35,00:21:5a:7c:b9:91
10.95.220.36,00:21:b7:69:81:72
10.95.220.38,00:1a:4b:2c:0c:ad
10.95.220.39,00:1b:78:15:37:fb
10.95.220.40,1c:c1:de:14:85:f8
10.95.220.41,00:23:7d:89:33:a6
10.95.220.42,00:23:7d:8b:fd:4a
10.95.220.46,a0:8c:fd:11:bb:59
10.95.220.47,c4:34:6b:17:0f:11
10.95.220.62,f8:b1:56:a7:f8:31
10.95.220.72,18:03:73:3b:95:65
10.95.220.90,18:03:73:3e:c3:18
10.95.220.99,00:23:ae:83:50:62
10.95.220.100,18:03:73:3d:0b:05
10.95.220.101,00:21:9b:63:5c:a5
10.95.220.107,f0:7f:06:ab:a6:04
10.95.220.108,7c:0e:ce:64:a2:04
10.95.220.110,fc:5b:39:2b:ab:4c
10.95.220.114,18:03:73:37:10:45
10.95.220.116,18:03:73:39:a9:01
10.95.220.117,18:03:73:3e:10:a9
10.95.220.119,b8:ac:6f:1f:36:97
10.95.220.122,00:23:ae:83:45:39
10.95.220.123,90:b1:1c:5b:ce:29
10.95.220.127,20:47:47:c1:ed:46
10.95.220.128,18:03:73:3b:67:43
10.95.220.129,00:25:64:95:35:5d
10.95.220.130,18:66:da:42:e5:99
10.95.220.134,00:23:ae:83:52:1e
10.95.220.135,18:66:da:42:9b:65
10.95.220.136,18:03:73:32:59:a5
10.95.220.137,18:66:da:33:52:af
10.95.220.138,18:db:f2:17:7d:ff
10.95.220.139,18:03:73:3b:ea:f5
10.95.220.140,18:66:da:42:ae:bf
10.95.220.141,d4:81:d7:f6:f7:3f
10.95.220.143,38:ed:18:d6:1c:48
10.95.220.144,00:25:64:9b:88:96
10.95.220.145,b8:ca:3a:a6:aa:af
10.95.220.146,18:03:73:3d:f0:27
10.95.220.147,f0:1f:af:3c:f2:52
10.95.220.148,d4:81:d7:f6:f6:6f
10.95.220.152,00:21:70:47:b4:09
10.95.220.156,00:21:70:47:61:da
10.95.220.157,18:db:f2:17:7e:9e
10.95.220.158,d4:be:d9:58:98:75
10.95.220.159,d4:be:d9:51:26:87
10.95.220.161,00:25:64:9c:3f:4c
10.95.220.162,18:03:73:3b:d8:ec
10.95.220.164,d4:be:d9:43:bc:04
10.95.220.165,f8:b1:56:a4:53:da
10.95.220.166,00:25:64:9b:29:8f
10.95.220.167,18:03:73:32:58:dd
10.95.220.168,00:25:64:c6:57:2e
10.95.220.170,18:03:73:3e:04:2f
10.95.220.171,18:66:da:2a:3b:f0
10.95.220.172,28:f1:0e:2c:e0:13
10.95.220.173,18:03:73:3b:99:ef
10.95.220.174,b8:ca:3a:ae:0f:26
10.95.220.175,18:66:da:43:0c:cb
10.95.220.176,00:21:9b:4f:73:a2
10.95.220.177,18:03:73:32:b9:9e
10.95.220.178,18:03:73:3b:d5:5a
10.95.220.180,18:66:da:2a:3d:81
10.95.220.181,00:21:9b:4e:df:a4
10.95.220.182,18:03:73:39:c6:a1
10.95.220.183,18:03:73:3b:d8:58
10.95.220.184,18:03:73:32:2d:97
10.95.220.185,18:66:da:43:07:ac
10.95.220.186,18:03:73:3a:48:b7
10.95.220.187,f8:b1:56:a7:e7:de
10.95.220.188,f0:7f:06:a3:6a:2c
10.95.220.189,fc:5b:39:2b:60:f4
10.95.220.191,18:db:f2:17:7d:e7
10.95.220.192,d4:be:d9:0e:96:77
10.95.220.193,d4:be:d9:57:b1:8f
10.95.220.194,78:2b:cb:98:2e:8e
10.95.220.196,00:23:ae:84:53:a9
10.95.220.197,00:23:ae:83:50:5c
10.95.220.198,18:03:73:38:b0:64
10.95.220.199,d4:81:d7:f6:f7:1c
10.95.220.200,18:03:73:38:d0:df
10.95.220.202,18:03:73:38:ab:cc
10.95.220.203,18:03:73:35:48:15
10.95.220.205,18:66:da:33:57:5d
10.95.220.206,18:03:73:39:48:f5
10.95.220.207,ec:f4:bb:37:54:da
10.95.220.208,00:25:64:9b:2e:7a
10.95.220.209,00:23:ae:83:52:23
10.95.220.211,18:66:da:42:b2:c3
10.95.220.212,18:03:73:32:5c:55
10.95.220.213,18:66:da:2a:3d:3c
10.95.220.214,00:25:64:95:39:13
10.95.220.215,78:2b:cb:b7:33:13
10.95.220.216,18:66:da:42:b3:d1
10.95.220.217,28:f1:0e:32:e6:68
10.95.220.218,90:b1:1c:f9:43:21
10.95.220.219,18:03:73:3d:0d:79
10.95.220.220,18:03:73:31:d7:9e
10.95.220.223,18:db:f2:17:89:b4
10.95.220.224,18:66:da:43:09:d5
10.95.220.226,18:03:73:3b:e4:03
10.95.220.227,18:03:73:3d:0c:0d
10.95.220.228,18:03:73:3d:13:25
10.95.220.230,ec:f4:bb:37:4d:ee
10.95.220.231,5c:26:0a:7d:ee:d2
10.95.220.232,00:25:64:94:d1:da
10.95.220.233,18:03:73:1b:df:4d
10.95.220.235,18:66:da:2a:28:58
10.95.220.236,18:03:73:3a:9c:f4
10.95.220.237,18:db:f2:17:87:f4
10.95.220.238,18:66:da:2a:43:14
10.95.220.239,00:1a:a0:aa:ed:5c
10.95.220.240,00:23:ae:84:53:44
10.95.220.241,18:03:73:3b:97:28
10.95.220.242,00:50:b6:d4:e2:ba
10.95.220.243,18:03:73:3b:0f:c5
10.95.220.244,18:03:73:3d:bc:bb
10.95.220.245,b8:ca:3a:ae:0a:06
10.95.220.246,38:ed:18:d8:2f:50
10.95.220.247,f8:b1:56:a7:eb:9f
10.95.220.248,18:03:73:3a:95:f3
10.95.220.249,18:03:73:21:74:d1
10.95.220.250,18:03:93:3a:8a:0f
10.95.220.251,18:03:73:3d:0d:a1
10.95.220.252,00:23:ae:83:50:8d
10.95.220.253,18:66:da:2a:3a:f7
10.95.220.254,90:b1:1c:5b:ca:dc
10.95.221.2,3c:61:04:e9:29:01
10.95.221.5,00:ca:fe:71:66:22
10.95.221.6,00:16:3e:91:22:90
10.95.221.7,c0:57:bc:fc:b9:dc
10.95.221.8,00:ca:fe:34:46:97
10.95.221.9,d4:ea:0e:85:64:f0
10.95.221.163,f8:73:a2:ef:60:f0
10.95.221.164,34:75:c7:e7:a9:d1
10.95.221.165,34:75:c7:e7:ec:2d
10.95.221.166,84:83:71:85:56:76
10.95.221.168,34:75:c7:e7:cc:77
10.95.221.169,34:75:c7:e7:eb:2e
10.95.221.170,84:83:71:84:db:e1
10.95.221.171,84:83:71:85:ac:88
10.95.221.172,34:75:c7:e7:cc:ab
10.95.221.173,84:83:71:84:dd:1d
10.95.221.174,84:83:71:84:dc:36
10.95.221.175,84:83:71:84:d6:0d
10.95.221.176,84:83:71:84:dc:ee
10.95.221.177,84:83:71:84:e7:84
10.95.221.178,34:75:c7:e7:ce:c3
10.95.221.179,34:75:c7:e7:a9:a4
10.95.221.181,84:83:71:85:ac:62
10.95.221.182,34:75:c7:e7:a9:23
10.95.221.183,34:75:c7:e7:ec:4b
10.95.221.184,84:83:71:85:55:c2
10.95.221.185,34:75:c7:e7:cc:52
10.95.221.186,34:75:c7:e7:a9:a7
10.95.221.187,34:75:c7:e7:aa:4b
10.95.221.188,34:75:c7:e7:a8:9b
10.95.221.189,34:75:c7:e7:eb:fc
10.95.221.190,34:75:c7:e7:ec:73
10.95.221.191,34:75:c7:e7:a9:bf
10.95.221.192,84:83:71:84:e8:d8
10.95.221.193,34:75:c7:e7:aa:2e
10.95.221.194,84:83:71:84:ea:a6
10.95.221.195,34:75:c7:e7:aa:6b
10.95.221.196,34:75:c7:e7:cc:45
10.95.221.197,84:83:71:84:e3:ab
10.95.221.198,84:83:71:84:ea:8d
10.95.221.199,84:83:71:84:e7:8b
10.95.221.200,34:75:c7:e7:aa:78
10.95.221.201,34:75:c7:e7:e9:a3
10.95.221.203,84:83:71:85:53:0c
10.95.221.204,34:75:c7:e7:aa:c2
10.95.221.205,84:83:71:84:cc:19
10.95.221.206,84:83:71:84:e8:63
10.95.221.207,34:75:c7:e7:aa:57
10.95.221.208,84:83:71:84:e9:37
10.95.221.209,84:83:71:85:55:22
10.95.221.210,84:83:71:84:e9:fa
10.95.221.212,34:75:c7:e7:a9:b8
10.95.221.213,84:83:71:84:dc:96
10.95.221.214,84:83:71:84:d3:fb
10.95.221.215,34:75:c7:e7:ce:91
10.95.221.216,34:75:c7:e7:cd:64
10.95.221.217,34:75:c7:e7:a9:85
10.95.221.218,34:75:c7:e7:ec:5a
10.95.221.219,34:75:c7:e7:cc:cd
10.95.221.220,84:83:71:85:ac:2e
10.95.221.221,34:75:c7:e7:cc:1b
10.95.221.222,a4:25:1b:c0:ce:84
10.95.221.223,34:75:c7:e7:a9:6b
10.95.221.224,34:75:c7:e7:a9:de
10.95.221.225,34:75:c7:e7:aa:52
10.95.221.226,34:75:c7:e7:ae:f4
10.95.221.227,f8:73:a2:ee:ca:fe
10.95.221.228,34:75:c7:e7:aa:34
10.95.221.229,84:83:71:84:e5:9e
10.95.221.230,34:75:c7:e7:cc:2e
10.95.221.231,84:83:71:84:e4:88
10.95.221.232,34:75:c7:e7:cb:de
10.95.221.233,f8:73:a2:ef:60:6e
10.95.221.234,34:75:c7:e7:cd:ce
10.95.221.235,34:75:c7:e7:ec:53
10.95.221.236,34:75:c7:e7:ae:24
10.95.221.237,34:75:c7:e7:c2:44
10.95.221.238,f8:73:a2:ef:60:bc
10.95.221.239,f8:73:a2:f0:5e:d9
10.95.221.241,f8:73:a2:ef:63:db
10.95.221.242,f8:73:a2:ef:60:2d
10.95.221.243,f8:73:a2:ef:38:99
10.95.221.244,f8:73:a2:ef:34:c4
10.95.221.245,f8:73:a2:ee:cb:28
10.95.221.246,6c:a8:49:8e:db:91
10.95.221.247,f8:73:a2:ef:61:c7
10.95.221.248,84:83:71:84:d6:88
10.95.221.249,24:d9:21:1a:a1:27
10.95.221.250,3c:b1:5b:11:29:16
10.95.221.251,3c:b1:5b:11:18:cf
10.95.221.252,34:75:c7:e7:cb:d5
10.95.221.253,70:38:ee:d4:8d:fc
10.95.221.254,70:38:ee:c8:1b:a3
10.95.223.132,3c:61:04:e9:29:01
10.95.223.150,00:50:56:b9:42:88
10.95.223.151,00:50:56:83:1b:72
10.95.223.152,3c:61:04:e9:29:01
10.95.223.164,3c:61:04:e9:29:01
10.95.223.165,4c:96:14:e9:cb:81
10.95.223.166,4c:96:14:e9:83:81
10.95.223.167,4c:96:14:ed:4a:41
10.95.223.168,4c:96:14:ec:fe:21
10.95.223.169,4c:96:14:e9:48:41
10.95.223.195,00:26:b9:3a:cf:50
10.95.223.196,00:26:b9:3a:cf:58
10.95.223.198,3c:61:04:e9:29:01
