ip,mac,flag
10.64.16.10,00:01:a4:ab:8c:26,perm_remote
10.64.16.11,00:01:a4:ab:8c:86,none
10.64.16.50,00:01:a4:ab:8c:d0,perm_remote
10.64.16.51,00:1a:4a:56:ea:ad,perm_remote
10.64.16.52,00:01:a4:ab:8c:d1,perm_remote
10.64.16.53,00:1a:4a:56:ea:ed,none
10.64.16.54,00:01:a4:ab:8c:bf,perm_remote
10.64.16.55,00:01:a4:ab:8c:4a,none
10.64.16.56,00:01:a4:ab:8c:7f,none
10.64.16.57,00:01:a4:ab:8c:59,perm_remote
10.64.16.58,00:01:a4:ab:8c:7a,perm_remote
10.64.16.59,00:01:a4:ab:93:1d,perm_remote
10.64.16.60,00:01:a4:ab:8c:8a,perm_remote
10.64.16.61,00:01:a4:ab:8c:8f,none
10.64.16.62,00:01:a4:ab:8c:1e,none
10.64.16.63,00:01:a4:ab:99:99,perm_remote
10.64.16.64,00:01:a4:ab:8c:1d,perm_remote
10.64.16.65,00:01:a4:ab:99:98,perm_remote
10.64.16.66,00:01:a4:ab:8c:72,perm_remote
10.64.16.67,00:01:a4:ab:94:f8,perm_remote
10.64.16.68,00:01:a4:ab:8c:73,perm_remote
10.64.16.69,00:01:a4:ab:94:f9,perm_remote
10.64.16.70,00:01:a4:ab:8d:b8,none
10.64.16.71,00:01:a4:ab:8c:35,none
10.64.16.72,00:01:a4:ab:8c:31,perm_remote
10.64.16.73,00:01:a4:ab:99:8a,none
10.64.16.74,00:1a:4a:56:ea:ae,none
10.64.16.75,00:01:a4:ab:91:d3,none
10.64.16.76,00:01:a4:ab:8c:37,perm_remote
10.64.16.77,00:01:a4:ab:97:8e,none
10.64.16.78,00:01:a4:ab:94:de,none
10.64.16.79,00:01:a4:ab:8c:36,perm_remote
10.64.16.80,00:01:a4:ab:94:da,perm_remote
10.64.16.81,00:01:a4:ab:8c:38,perm_remote
10.64.16.82,00:01:a4:ab:99:24,perm_remote
10.64.16.83,00:01:a4:ab:8c:39,perm_remote
10.64.16.84,00:01:a4:ab:99:23,perm_remote
10.64.16.85,00:01:a4:ab:8c:2a,perm_remote
10.64.16.86,00:1a:4a:56:ea:ee,perm_remote
10.64.16.87,00:01:a4:ab:8c:2b,perm_remote
10.64.16.89,00:01:a4:ab:8c:2c,none
10.64.16.90,00:01:a4:ab:97:9d,perm_remote
10.64.16.91,00:01:a4:ab:8c:2e,perm_remote
10.64.16.92,00:01:a4:ab:99:1f,perm_remote
10.64.16.93,00:01:a4:ab:8c:2d,none
10.64.16.94,00:1a:4a:56:ea:c9,none
10.64.16.95,00:01:a4:ab:8c:2f,perm_remote
10.64.16.96,00:01:a4:ab:99:13,none
10.64.16.97,00:01:a4:ab:8c:41,perm_remote
10.64.16.98,00:01:a4:ab:97:91,perm_remote
10.64.16.99,00:01:a4:ab:8c:40,perm_remote
10.64.16.100,00:01:a4:ab:99:12,none
10.64.16.101,00:1a:4a:56:ea:b2,perm_remote
10.64.16.102,00:01:a4:ab:8c:43,none
10.64.16.103,00:01:a4:ab:97:90,none
10.64.16.104,00:01:a4:ab:8c:42,none
10.64.16.105,00:01:a4:ab:97:7a,perm_remote
10.64.16.106,00:01:a4:ab:94:e9,perm_remote
10.64.16.107,00:01:a4:ab:8c:45,none
10.64.16.108,00:01:a4:ab:97:7b,perm_remote
10.64.16.109,00:01:a4:ab:8c:44,none
10.64.16.110,00:01:a4:ab:94:f6,perm_remote
10.64.16.111,00:01:a4:ab:91:d9,perm_remote
10.64.16.112,00:1a:4a:56:43:da,perm_remote
10.64.16.113,00:01:a4:ab:94:f1,perm_remote
10.64.16.114,00:01:a4:ab:91:d4,none
10.64.16.115,00:01:a4:ab:97:80,none
10.64.16.116,00:01:a4:ab:99:9e,perm_remote
10.64.16.119,00:01:a4:ab:8c:14,perm_remote
10.64.16.120,00:1a:4a:56:03:82,none
10.64.16.121,00:01:a4:ab:8c:15,perm_remote
10.64.16.122,00:1a:4a:56:e2:58,perm_remote
10.64.16.123,00:01:a4:ab:99:40,none
10.64.16.125,00:01:a4:ab:8c:0a,perm_remote
10.64.16.126,00:01:a4:ab:97:85,perm_remote
10.64.16.127,00:01:a4:ab:8c:0f,none
10.64.16.129,00:01:a4:ab:8c:0b,perm_remote
10.64.16.131,00:25:b5:d3:04:10,none
10.64.16.132,00:01:a4:ab:8f:da,perm_remote
10.64.16.133,00:01:a4:ab:97:5b,none
10.64.16.134,00:01:a4:ab:8c:0d,perm_remote
10.64.16.135,00:1a:4a:56:0d:21,perm_remote
10.64.16.136,00:01:a4:ab:8c:21,perm_remote
10.64.16.137,00:01:a4:ab:99:4a,perm_remote
10.64.16.138,00:01:a4:ab:98:8e,none
10.64.16.139,00:01:a4:ab:8e:c8,perm_remote
10.64.16.140,00:1a:4a:56:e8:8b,perm_remote
10.64.16.141,00:01:a4:ab:94:b1,none
10.64.16.142,00:01:a4:ab:8f:e3,none
10.64.16.144,00:01:a4:ab:8c:c6,perm_remote
10.64.16.145,00:01:a4:ab:8e:c9,perm_remote
10.64.16.146,00:01:a4:ab:8c:c5,none
10.64.16.147,00:01:a4:ab:8e:b0,perm_remote
10.64.16.148,00:01:a4:ab:8c:c8,perm_remote
10.64.16.149,00:01:a4:ab:8e:b1,perm_remote
10.64.16.150,00:01:a4:ab:8c:ae,perm_remote
10.64.16.151,00:01:a4:ab:8e:b5,none
10.64.16.152,00:01:a4:ab:8c:b5,none
10.64.16.153,00:1a:4a:56:03:91,perm_remote
10.64.16.154,00:01:a4:ab:8c:b4,none
10.64.16.155,00:01:a4:ab:94:a3,perm_remote
10.64.16.156,00:01:a4:ab:97:5c,none
10.64.16.157,00:1a:4a:56:b0:f7,none
10.64.16.158,00:01:a4:ab:8c:01,none
10.64.16.159,00:01:a4:ab:8c:b0,perm_remote
10.64.16.160,00:01:a4:ab:97:60,none
10.64.16.161,00:01:a4:ab:98:3b,none
10.64.16.162,00:01:a4:ab:8c:b3,none
10.64.16.163,00:01:a4:ab:8c:00,none
10.64.16.164,00:01:a4:ab:8c:e4,perm_remote
10.64.16.165,00:01:a4:ab:94:a6,perm_remote
10.64.16.167,00:01:a4:ab:97:63,perm_remote
10.64.16.168,00:01:a4:ab:8c:e6,perm_remote
10.64.16.169,00:01:a4:ab:94:b0,none
10.64.16.170,00:1a:4a:56:03:a2,perm_remote
10.64.16.171,00:1a:4a:56:e2:5b,none
10.64.16.172,00:01:a4:ab:8c:e1,perm_remote
10.64.16.173,00:1a:4a:56:e2:5c,none
10.64.16.174,00:1a:4a:56:03:a9,none
10.64.16.176,00:01:a4:ab:f0:25,perm_remote
10.64.16.177,00:01:a4:ab:8e:f8,none
10.64.16.178,00:1a:4a:56:e8:8a,perm_remote
10.64.16.179,00:01:a4:ab:8e:f7,none
10.64.16.180,00:01:a4:ab:98:74,perm_remote
10.64.16.181,00:1a:4a:56:ea:f3,none
10.64.16.182,00:1a:4a:56:03:ac,perm_remote
10.64.16.183,00:1a:4a:56:e2:7f,none
10.64.16.184,00:01:a4:ab:53:c8,perm_remote
10.64.16.185,00:1a:4a:56:03:cd,perm_remote
10.64.16.186,00:1a:4a:56:03:b8,none
10.64.16.188,00:1a:4a:56:03:d7,none
10.64.16.189,00:01:a4:ab:98:5a,none
10.64.16.191,00:1a:4a:56:03:db,perm_remote
10.64.16.192,00:1a:4a:56:02:5b,none
10.64.16.193,00:01:a4:ab:96:2c,perm_remote
10.64.16.194,00:1a:4a:56:e2:3c,none
10.64.16.195,00:01:a4:ab:90:9a,none
10.64.16.196,00:01:a4:ab:1a:3b,none
10.64.16.197,00:01:a4:ab:97:24,perm_remote
10.64.16.198,00:1a:4a:56:18:27,none
10.64.16.199,00:1a:4a:56:02:5c,none
10.64.16.201,00:1a:4a:56:02:67,none
10.64.16.203,00:1a:4a:56:e8:7e,perm_remote
10.64.16.204,00:01:a4:ab:94:e0,perm_remote
10.64.16.205,00:1a:4a:56:a4:75,perm_remote
10.64.16.206,00:01:a4:ab:97:49,perm_remote
10.64.16.207,00:1a:4a:56:c6:c3,none
10.64.16.208,00:01:a4:ab:97:3d,none
10.64.16.210,00:1a:4a:56:00:06,none
10.64.16.211,00:1a:4a:56:e2:40,perm_remote
10.64.16.212,00:01:a4:ab:97:3a,none
10.64.16.213,00:01:a4:ab:99:07,perm_remote
10.64.16.214,00:1a:4a:56:02:60,none
10.64.16.215,00:1a:4a:56:00:04,perm_remote
10.64.16.217,00:1a:4a:56:ea:e7,perm_remote
10.64.16.218,00:1a:4a:56:0d:27,perm_remote
10.64.16.219,00:1a:4a:56:e2:41,perm_remote
10.64.16.221,00:1a:4a:56:e3:e8,perm_remote
10.64.16.222,00:1a:4a:56:e8:91,perm_remote
10.64.16.223,00:1a:4a:56:02:69,none
10.64.16.224,00:1a:4a:56:0d:26,perm_remote
10.64.16.225,00:1a:4a:56:e8:76,perm_remote
10.64.16.226,00:01:a4:ab:97:0b,perm_remote
10.64.16.228,00:01:a4:ab:97:0c,perm_remote
10.64.16.229,00:1a:4a:56:43:7c,perm_remote
10.64.16.230,00:1a:4a:56:e8:4a,perm_remote
10.64.16.231,00:1a:4a:56:02:7c,perm_remote
